date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1364,34,1736,40,1812,16,2250,1,2100,1,0,0
'2016-12-16',1399,29,1719,19,1860,14,2325,4,0,0,0,0
'2016-12-17',1477,24,1660,29,1975,6,2295,3,1595,1,0,0
'2016-12-18',1399,20,1633,26,1737,10,1650,4,2175,4,0,0
'2016-12-19',1445,17,1722,14,1500,4,2225,2,3050,1,0,0
'2016-12-20',1308,23,1705,16,1850,5,2200,6,3990,2,0,0
'2016-12-21',1392,19,1745,25,1800,17,1275,2,2100,1,0,0
'2016-12-22',1356,23,1745,24,2000,9,2595,3,3200,3,0,0
'2016-12-23',1410,31,1745,43,1842,11,2337,8,3990,1,0,0
'2016-12-24',1367,18,1740,24,2100,17,1850,3,2100,1,0,0
