date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1250,3,1440,4,0,0,0,0,0,0,0,0
'2016-12-16',1260,5,1490,5,0,0,0,0,0,0,0,0
'2016-12-17',1260,1,1435,2,0,0,0,0,0,0,0,0
'2016-12-18',1260,2,1440,5,0,0,0,0,0,0,0,0
'2016-12-19',1260,4,1490,4,0,0,0,0,0,0,0,0
'2016-12-20',1260,2,1460,5,0,0,0,0,0,0,0,0
'2016-12-21',1260,3,1490,2,0,0,0,0,0,0,0,0
'2016-12-22',1260,2,1490,5,2150,1,0,0,0,0,0,0
'2016-12-23',1260,4,1490,3,1550,1,0,0,0,0,0,0
'2016-12-24',1260,5,1490,7,0,0,0,0,0,0,0,0
'2016-12-25',1260,1,1475,2,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',1260,14,1490,12,1850,4,0,0,0,0,0,0
'2016-12-28',1260,3,1490,1,1775,1,0,0,0,0,0,0
'2016-12-29',1260,5,1490,5,0,0,0,0,0,0,0,0
'2016-12-30',1260,3,1490,3,0,0,0,0,0,0,0,0
'2016-12-31',1265,2,1380,3,0,0,0,0,0,0,0,0
'2017-01-01',980,4,1435,4,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-03',1260,12,1420,12,1775,2,0,0,0,0,0,0
