date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1065,64,1265,22,2250,11,0,0,0,0,0,0
'2016-12-16',1070,30,1475,19,1500,7,0,0,1075,1,0,0
'2016-12-17',1075,34,1479,19,1500,9,3000,1,0,0,0,0
'2016-12-18',1099,14,1479,20,1545,7,1076,2,1075,1,0,0
'2016-12-19',1012,8,1900,5,0,0,1251,2,0,0,0,0
'2016-12-20',1075,29,1265,13,2595,9,2900,1,0,0,0,0
'2016-12-21',1075,28,1523,9,1613,2,1252,2,3250,1,0,0
'2016-12-22',1075,31,1409,9,1579,4,2900,1,0,0,0,0
'2016-12-23',1061,20,1369,16,1478,5,2850,1,0,0,0,0
'2016-12-24',1117,18,1449,8,1579,6,2500,1,0,0,0,0
'2016-12-25',975,8,1369,5,0,0,0,0,1075,1,0,0
