date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1824,24,3437,4,4850,1,0,0,2725,1,6695,1
'2016-12-16',1750,14,2579,3,2800,2,4400,1,0,0,0,0
'2016-12-17',1950,27,2943,4,4025,2,4600,1,0,0,6695,1
'2016-12-18',1915,13,3615,1,0,0,4400,1,0,0,0,0
'2016-12-19',1772,18,2800,5,950,1,0,0,0,0,0,0
'2016-12-20',1901,19,2944,4,3500,3,4250,3,0,0,6695,1
'2016-12-21',1971,25,2554,6,2700,1,3750,1,0,0,0,0
'2016-12-22',1799,19,2459,7,2900,2,4225,2,0,0,6695,1
'2016-12-23',1774,28,2829,4,2700,1,0,0,0,0,0,0
'2016-12-24',1850,15,2850,5,3337,4,4050,1,0,0,6695,1
