date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1545,2,1787,2,2325,1,555000,7,0,0,0,0
'2016-12-16',1300,1,1575,1,2587,2,0,0,0,0,0,0
'2016-12-17',1450,6,1770,3,2200,1,1782,1,0,0,0,0
'2016-12-18',1495,1,1695,1,1962,2,0,0,0,0,0,0
'2016-12-19',1500,3,2150,1,2200,3,0,0,0,0,0,0
'2016-12-20',1522,4,1770,3,2175,1,555000,1,0,0,0,0
'2016-12-21',1180,1,0,0,1925,2,555000,1,0,0,0,0
'2016-12-22',1397,4,2150,1,2225,2,555000,2,0,0,0,0
'2016-12-23',1450,4,1535,2,2187,2,0,0,0,0,0,0
'2016-12-24',1125,2,1847,2,1925,2,0,0,0,0,0,0
'2016-12-25',1300,1,0,0,2250,3,0,0,0,0,0,0
'2016-12-26',1450,1,1847,2,2187,2,0,0,0,0,0,0
'2016-12-27',900,1,0,0,0,0,0,0,0,0,0,0
'2016-12-28',1150,3,1697,4,2250,2,3500,1,0,0,0,0
'2016-12-29',1350,3,1925,3,2562,2,0,0,0,0,0,0
'2016-12-30',1432,4,1770,1,0,0,0,0,0,0,0,0
'2016-12-31',1300,1,1700,1,2250,3,0,0,0,0,0,0
'2017-01-01',1400,1,1650,1,0,0,0,0,0,0,0,0
'2017-01-02',1150,4,1847,2,2200,1,0,0,0,0,0,0
'2017-01-03',1450,1,1785,4,1072,1,0,0,0,0,0,0
'2017-01-04',1535,2,1700,1,2600,3,555000,1,0,0,0,0
'2017-01-05',1437,6,1800,3,2200,1,0,0,0,0,0,0
'2017-01-06',1347,2,1770,4,1698,2,0,0,0,0,0,0
