date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2095,2,2550,2,2725,2,2420,4,0,0,0,0
'2016-12-16',0,0,2020,1,0,0,0,0,0,0,0,0
'2016-12-17',2095,1,2550,1,0,0,0,0,0,0,0,0
'2016-12-18',0,0,1925,1,3012,2,0,0,0,0,0,0
'2016-12-19',0,0,2020,1,0,0,0,0,0,0,0,0
'2016-12-20',2095,1,2447,2,0,0,0,0,0,0,0,0
'2016-12-21',0,0,1925,1,2725,1,0,0,0,0,0,0
'2016-12-22',2095,1,0,0,3200,1,0,0,0,0,0,0
'2016-12-23',0,0,2200,1,0,0,0,0,0,0,0,0
'2016-12-24',2095,1,1925,1,2725,1,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,2420,1,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',2095,2,1925,2,0,0,0,0,0,0,0,0
'2016-12-28',0,0,1650,1,0,0,2420,1,0,0,0,0
'2016-12-29',2095,1,0,0,0,0,0,0,0,0,0,0
