date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1525,48,1703,56,2155,20,2850,4,0,0,0,0
'2016-12-16',1489,85,1703,96,2073,22,3095,10,3500,2,0,0
'2016-12-17',1525,94,1690,81,2046,30,2500,18,0,0,0,0
'2016-12-18',1504,73,1657,90,2046,37,1650,2,0,0,0,0
'2016-12-19',1515,65,1720,90,2046,30,3112,12,3120,6,0,0
'2016-12-20',1499,67,1730,103,2046,32,2300,14,3400,1,0,0
'2016-12-21',1504,69,1665,92,2136,30,2000,6,0,0,0,0
'2016-12-22',1489,74,1686,81,2046,36,1975,8,1561,4,0,0
'2016-12-23',1489,39,1686,46,2241,8,1850,3,0,0,0,0
'2016-12-24',1495,31,1749,34,2123,14,2735,4,3500,1,0,0
'2016-12-25',1488,21,1797,26,2123,12,0,0,0,0,0,0
'2016-12-26',1473,6,1475,6,2550,2,2212,4,0,0,0,0
'2016-12-27',1645,24,1750,19,2100,7,2375,3,3500,1,0,0
'2016-12-28',1486,79,1965,75,2130,30,3750,7,0,0,0,0
'2016-12-29',1586,61,1732,96,2151,24,2212,12,3500,2,0,0
'2016-12-30',1486,78,1870,87,2116,22,3062,4,4725,4,0,0
'2016-12-31',1577,32,1870,52,2132,8,2375,4,3995,1,0,0
