date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1489,54,1703,49,2150,19,2647,2,2800,1,0,0
'2016-12-16',1488,73,1686,89,1999,28,2500,15,3850,4,0,0
'2016-12-17',1489,116,1686,77,2187,32,2575,10,2600,5,0,0
'2016-12-18',1486,85,1686,89,1999,33,2600,3,2800,2,0,0
'2016-12-19',1489,79,1686,74,2085,24,2647,12,2295,2,0,0
'2016-12-20',1489,106,1701,70,2197,34,2300,11,2575,2,0,0
'2016-12-21',1465,79,1675,74,2150,28,1843,4,3500,2,0,0
'2016-12-22',1489,88,1686,81,2075,42,2500,5,0,0,0,0
'2016-12-23',1480,99,1686,81,2000,24,2095,6,2575,2,0,0
'2016-12-24',1488,85,1686,64,2196,36,3047,8,2600,2,4600,2
'2016-12-25',1486,19,1691,18,2212,12,2795,3,2295,1,0,0
'2016-12-26',1430,7,1629,7,1999,6,2500,5,2575,1,0,0
'2016-12-27',1467,22,1682,19,2137,24,2600,3,1950,1,0,0
'2016-12-28',1465,38,1799,31,1999,19,2200,5,0,0,0,0
'2016-12-29',1488,26,1808,24,2130,9,2537,6,3037,2,0,0
'2016-12-30',1488,25,1815,29,2127,32,2950,6,1950,1,2400,1
'2016-12-31',1499,34,1775,31,2132,14,2512,2,1572,2,0,0
'2017-01-01',1488,19,1722,14,2115,12,2647,2,0,0,0,0
'2017-01-02',1459,8,1689,4,1999,11,2575,3,1650,3,0,0
'2017-01-03',1478,28,1772,25,2177,14,1800,8,3850,4,0,0
'2017-01-04',1489,37,1756,25,2300,13,2300,3,2075,2,0,0
'2017-01-05',1456,87,1806,69,1945,36,2500,6,2575,2,0,0
'2017-01-06',1450,27,1667,32,2125,16,2050,3,2295,1,0,0
