date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-16',1325,1,0,0,2100,9,0,0,3300,1,0,0
'2016-12-17',1447,2,0,0,1762,2,3950,1,0,0,0,0
'2016-12-18',0,0,1120,1,1425,1,0,0,0,0,0,0
'2016-12-19',0,0,1119,1,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,2650,1,0,0,0,0,0,0
'2016-12-21',1325,3,0,0,0,0,0,0,0,0,0,0
'2016-12-22',1500,3,0,0,2100,7,0,0,0,0,0,0
'2016-12-23',0,0,1114,1,3495,1,0,0,0,0,0,0
'2016-12-24',1415,2,1114,1,0,0,2900,1,3300,1,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
