date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1705,592,1772,467,2126,90,2199,23,4162,4,7200,3
'2016-12-16',1685,722,1772,535,2100,108,2995,17,2060,2,6900,3
'2016-12-17',1750,849,1772,541,2046,91,2995,19,3500,5,5922,4
'2016-12-18',1750,518,1772,417,1850,79,2017,21,3000,5,0,0
'2016-12-19',1670,455,1891,316,1843,69,2424,18,2295,5,2725,1
'2016-12-20',1675,657,1797,489,1765,115,2199,30,5000,7,7700,3
'2016-12-20',1677,656,1797,489,1765,115,2199,30,5000,7,7700,3
'2016-12-21',1750,660,1794,437,1843,85,2575,16,3925,4,3850,1
'2016-12-21',1750,654,1772,429,1850,82,2575,16,3925,4,3850,1
'2016-12-22',1738,738,1896,490,2115,116,2500,21,3725,6,4710,2
'2016-12-22',1743,737,1896,490,2126,115,2500,21,3725,6,4710,2
'2016-12-23',1750,665,1836,443,1734,100,1550,11,0,0,5075,2
'2016-12-23',1750,665,1835,442,1734,100,1550,11,0,0,5075,2
