date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',868,1,0,0,0,0,0,0,0,0,0,0
'2016-12-16',2,1,0,0,4,1,0,0,0,0,0,0
'2016-12-17',3,3,4,1,2,1,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,5800,1,0,0,0,0
'2016-12-19',2000,1,2450,1,0,0,0,0,0,0,0,0
'2016-12-20',0,0,3500,1,0,0,0,0,0,0,0,0
'2016-12-21',3,1,4,1,6,1,0,0,0,0,0,0
'2016-12-22',1402,2,2450,3,4,1,0,0,0,0,0,0
'2016-12-23',4,1,0,0,0,0,0,0,0,0,0,0
'2016-12-24',0,0,2400,1,0,0,0,0,0,0,0,0
'2016-12-25',1850,1,2450,1,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
