date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',2299,15,2788,10,2228,6,0,0,0,0,0,0
'2016-12-16',2100,21,3470,5,1749,4,0,0,0,0,0,0
'2016-12-17',1999,21,3625,9,1877,4,0,0,0,0,0,0
'2016-12-18',1951,13,2562,2,0,0,2400,1,0,0,0,0
'2016-12-19',1999,15,2095,6,2199,5,0,0,0,0,0,0
'2016-12-20',2295,17,3000,10,3099,2,0,0,0,0,0,0
'2016-12-21',2300,13,3030,9,0,0,0,0,0,0,0,0
'2016-12-22',2295,25,2300,13,2258,3,0,0,0,0,0,0
'2016-12-23',2299,19,2850,10,1999,1,0,0,0,0,0,0
'2016-12-24',2100,16,2802,8,2258,3,0,0,0,0,0,0
'2016-12-25',2500,7,2135,6,3600,1,0,0,0,0,0,0
'2016-12-26',1975,5,2775,5,0,0,0,0,0,0,0,0
'2016-12-27',2250,17,2410,15,2196,4,0,0,0,0,0,0
'2016-12-28',1999,19,3400,9,2100,1,0,0,0,0,0,0
'2016-12-29',1999,15,2400,11,1529,2,3900,1,0,0,6900,1
'2016-12-30',2250,13,2100,7,1999,1,2400,1,0,0,0,0
'2016-12-31',2415,12,2595,11,2196,2,0,0,0,0,0,0
'2017-01-01',2275,9,2260,1,0,0,0,0,0,0,0,0
'2017-01-02',1975,5,1850,3,0,0,0,0,0,0,0,0
'2017-01-03',2375,10,3750,7,3215,1,0,0,0,0,0,0
'2017-01-04',1999,24,3025,10,3325,4,2400,1,0,0,0,0
'2017-01-05',1999,20,2314,10,1879,2,0,0,0,0,0,0
'2017-01-06',2492,12,3067,4,2199,3,0,0,0,0,0,0
'2017-01-07',2474,20,3187,10,2258,1,0,0,0,0,0,0
'2017-01-08',2600,13,2545,7,2135,3,3900,1,0,0,0,0
'2017-01-09',1925,9,3077,6,2069,2,0,0,0,0,0,0
'2017-01-10',1984,18,2915,10,2137,2,0,0,0,0,0,0
'2017-01-11',2300,21,2437,6,2200,3,0,0,0,0,0,0
