date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1321,2,1350,3,0,0,0,0,0,0,0,0
'2016-12-16',1255,3,1378,2,1500,1,0,0,0,0,0,0
'2016-12-17',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-18',1255,10,1414,10,1810,6,0,0,0,0,0,0
'2016-12-19',1188,1,1323,3,1500,1,0,0,0,0,0,0
'2016-12-20',1227,2,0,0,0,0,2575,1,0,0,0,0
'2016-12-21',0,0,1399,1,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,1500,1,0,0,0,0,0,0
'2016-12-23',1218,8,1343,8,0,0,2475,4,0,0,0,0
'2016-12-24',0,0,1350,1,2200,2,2175,1,0,0,0,0
'2016-12-25',1410,1,1715,2,1817,2,0,0,0,0,0,0
