date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,0,0,1400,1,1650,1,0,0,0,0
'2016-12-16',1502,2,0,0,0,0,0,0,1625,1,0,0
'2016-12-17',1492,2,0,0,1300,2,0,0,0,0,0,0
'2016-12-18',0,0,0,0,0,0,1650,1,1625,1,0,0
'2016-12-19',0,0,0,0,1200,1,0,0,3200,1,0,0
'2016-12-20',1545,1,1795,1,1882,2,0,0,0,0,0,0
'2016-12-21',1530,2,1805,1,2365,1,0,0,1625,1,0,0
'2016-12-22',1515,1,0,0,1400,1,1637,2,0,0,0,0
'2016-12-23',1510,1,0,0,0,0,1575,1,0,0,0,0
'2016-12-24',1460,3,1785,1,2380,1,0,0,0,0,0,0
'2016-12-25',1480,2,1785,1,2380,1,1575,1,0,0,0,0
'2016-12-26',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-27',1450,2,1785,2,2375,2,1575,2,0,0,0,0
'2016-12-28',1480,2,1770,1,2370,1,0,0,0,0,0,0
'2016-12-29',0,0,0,0,0,0,1487,2,0,0,0,0
'2016-12-30',1502,2,1785,1,2340,1,0,0,0,0,0,0
'2016-12-31',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-01',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-03',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-04',1505,4,1770,2,2340,2,1325,2,0,0,0,0
'2017-01-05',1375,1,0,0,0,0,0,0,0,0,0,0
'2017-01-06',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-07',1460,2,0,0,0,0,0,0,0,0,0,0
'2017-01-08',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-09',1490,4,1785,2,2310,2,0,0,2315,2,0,0
'2017-01-10',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-11',0,0,0,0,0,0,0,0,0,0,0,0
