date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1329,34,1535,32,1600,35,1765,14,2675,2,0,0
'2016-12-16',1340,73,1475,72,1500,39,1800,31,2100,3,0,0
'2016-12-17',1300,64,1460,67,1475,61,1765,22,0,0,0,0
'2016-12-18',1350,76,1565,61,1620,36,1750,20,2800,6,0,0
'2016-12-19',1314,16,1562,26,1500,13,1787,8,2300,1,2400,2
'2016-12-20',1301,54,1460,67,1500,74,1789,22,1995,1,0,0
'2016-12-21',1329,70,1511,63,1445,57,1702,16,2800,3,0,0
'2016-12-22',1339,60,1472,76,1500,53,1542,28,2500,6,2550,2
'2016-12-23',1375,61,1510,66,1550,66,1780,23,0,0,0,0
'2016-12-24',1250,63,1486,68,1500,75,1510,20,2800,2,0,0
'2016-12-25',1263,16,1400,15,1520,13,1792,10,0,0,0,0
'2016-12-26',1350,1,1200,2,1450,10,1800,7,0,0,0,0
'2016-12-27',1250,55,1500,57,1500,72,1900,14,2500,8,0,0
'2016-12-28',1238,60,1410,85,1625,46,1750,23,2500,1,0,0
'2016-12-29',1300,53,1515,97,1460,65,1800,29,1975,2,0,0
'2016-12-30',1337,56,1480,75,1550,45,1647,20,2375,4,2550,2
'2016-12-31',1245,69,1457,60,1460,50,1750,27,2500,2,0,0
'2017-01-01',1330,36,1421,29,1450,29,1815,20,0,0,0,0
'2017-01-02',1240,7,1460,15,1460,24,1800,5,2237,2,2550,1
'2017-01-03',1313,32,1547,26,1730,23,1900,10,0,0,0,0
