date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',0,0,1547,2,2000,1,3200,1,0,0,0,0
'2016-12-16',0,0,1850,1,0,0,0,0,0,0,0,0
'2016-12-17',0,0,1450,2,2375,2,3200,1,0,0,0,0
'2016-12-18',1495,1,1495,1,0,0,0,0,0,0,0,0
'2016-12-19',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-20',0,0,0,0,2000,1,3575,2,0,0,0,0
'2016-12-21',916,11,0,0,0,0,0,0,0,0,0,0
'2016-12-22',0,0,0,0,2000,1,0,0,0,0,0,0
'2016-12-23',0,0,1450,2,0,0,3200,1,0,0,0,0
'2016-12-24',0,0,1850,1,0,0,0,0,0,0,0,0
'2016-12-25',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-26',0,0,0,0,0,0,3200,1,0,0,0,0
'2016-12-27',0,0,1450,1,2750,1,0,0,0,0,0,0
'2016-12-28',1060,1,0,0,0,0,0,0,0,0,0,0
'2016-12-29',0,0,0,0,0,0,0,0,0,0,0,0
'2016-12-30',0,0,1850,1,0,0,3200,1,0,0,0,0
'2016-12-31',0,0,1450,1,2000,1,0,0,0,0,0,0
'2017-01-01',0,0,0,0,0,0,0,0,0,0,0,0
'2017-01-02',0,0,0,0,0,0,3200,1,0,0,0,0
'2017-01-03',1515,1,1450,1,0,0,3950,1,0,0,0,0
