date,rent_1_median,rent_1_count,rent_2_median,rent_2_count,rent_3_median,rent_3_count,rent_4_median,rent_4_count,rent_5_median,rent_5_count,rent_6_median,rent_6_count
'2016-12-15',1915,73,3112,24,2795,3,0,0,3500,1,0,0
'2016-12-16',1898,44,3052,14,2942,2,0,0,0,0,0,0
'2016-12-17',1965,41,3052,28,2425,2,0,0,3500,1,0,0
'2016-12-18',1915,39,3125,23,4074,2,0,0,0,0,0,0
'2016-12-19',1898,41,2970,12,2795,1,0,0,0,0,0,0
'2016-12-20',1980,32,3052,16,0,0,0,0,3500,1,0,0
'2016-12-21',1898,51,2795,15,4150,1,5800,1,0,0,0,0
'2016-12-22',1960,37,2995,30,2900,3,0,0,3500,1,0,0
'2016-12-23',1999,33,3100,18,3525,2,0,0,0,0,0,0
'2016-12-24',1999,39,2976,14,3998,1,0,0,3500,1,5900,1
'2016-12-25',1898,34,3125,14,4150,3,0,0,0,0,0,0
'2016-12-26',1999,9,3125,13,2795,1,0,0,0,0,5900,1
